file,group_name,group_id,score,matched_exact,matched_root_only
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT32,G0050,26,T1003 (credential-access); T1018 (discovery); T1046 (discovery); T1047 (execution); T1059 (execution); T1068 (privilege-escalation); T1570 (lateral-movement),"T1003.001 (credential-access); T1021.002 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1059.007 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1505.003 (persistence); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,BlackByte,G1043,26,T1003 (credential-access); T1018 (discovery); T1046 (discovery); T1047 (execution); T1068 (privilege-escalation); T1562 (defense-evasion); T1570 (lateral-movement),"T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1134.003 (defense-evasion, privilege-escalation); T1136.002 (persistence); T1505.003 (persistence); T1562.001 (defense-evasion); T1562.004 (defense-evasion); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Magic Hound,G0059,25,T1018 (discovery); T1046 (discovery); T1047 (execution); T1562 (defense-evasion); T1570 (lateral-movement),"T1003.001 (credential-access); T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1070.003 (defense-evasion); T1070.004 (defense-evasion); T1098.002 (persistence); T1098.007 (); T1136.001 (persistence); T1505.003 (persistence); T1562.001 (defense-evasion); T1562.002 (defense-evasion); T1562.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT41,G0096,24,T1018 (discovery); T1046 (discovery); T1047 (execution); T1570 (lateral-movement),"T1003.001 (credential-access); T1003.002 (credential-access); T1003.003 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.004 (execution); T1070.001 (defense-evasion); T1070.003 (defense-evasion); T1070.004 (defense-evasion); T1098.007 (); T1136.001 (persistence); T1562.006 (defense-evasion); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,FIN6,G0037,22,"T1018 (discovery); T1046 (discovery); T1047 (execution); T1059 (execution); T1068 (privilege-escalation); T1134 (defense-evasion, privilege-escalation)","T1003.001 (credential-access); T1003.003 (credential-access); T1021.001 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.007 (execution); T1070.004 (defense-evasion); T1562.001 (defense-evasion); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Wizard Spider,G0102,22,T1018 (discovery); T1021 (lateral-movement); T1047 (execution); T1570 (lateral-movement),"T1003.001 (credential-access); T1003.002 (credential-access); T1003.003 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1021.006 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1070.004 (defense-evasion); T1136.001 (persistence); T1136.002 (persistence); T1562.001 (defense-evasion); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT39,G0087,21,T1003 (credential-access); T1018 (discovery); T1046 (discovery); T1059 (execution),"T1003.001 (credential-access); T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1021.004 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.005 (execution); T1059.006 (execution); T1059.010 (); T1070.004 (defense-evasion); T1136.001 (persistence); T1505.003 (persistence); T1569.002 (execution)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Lazarus Group,G0032,21,T1046 (discovery); T1047 (execution); T1070 (defense-evasion); T1098 (persistence),"T1021.001 (lateral-movement); T1021.002 (lateral-movement); T1021.004 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1070.003 (defense-evasion); T1070.004 (defense-evasion); T1070.006 (defense-evasion); T1134.002 (defense-evasion, privilege-escalation); T1562.001 (defense-evasion); T1562.004 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Ember Bear,G1003,20,T1003 (credential-access); T1018 (discovery); T1021 (lateral-movement); T1046 (discovery); T1047 (execution); T1570 (lateral-movement),"T1003.001 (credential-access); T1003.002 (credential-access); T1003.004 (credential-access); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1070.004 (defense-evasion); T1505.003 (persistence); T1562.001 (defense-evasion)"
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,Volt Typhoon,G1017,20,T1018 (discovery); T1046 (discovery); T1047 (execution); T1068 (privilege-escalation); T1570 (lateral-movement),T1003.001 (credential-access); T1003.003 (credential-access); T1021.001 (lateral-movement); T1059.001 (execution); T1059.003 (execution); T1059.004 (execution); T1070.001 (defense-evasion); T1070.004 (defense-evasion); T1070.007 (); T1505.003 (persistence)
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,OilRig,G0049,20,T1046 (discovery); T1047 (execution); T1059 (execution); T1068 (privilege-escalation),"T1003.001 (credential-access); T1003.004 (credential-access); T1003.005 (credential-access); T1021.001 (lateral-movement); T1021.004 (lateral-movement); T1053.005 (execution, persistence, privilege-escalation); T1059.001 (execution); T1059.003 (execution); T1059.005 (execution); T1070.004 (defense-evasion); T1505.003 (persistence); T1562.004 (defense-evasion)"
