group_sid,group_id,group_name,technique_id,technique_name,is_subtechnique
intrusion-set--01e28736-2ffc-455b-9880-ed4d1407ae07,G0119,Indrik Spider,T1003.001,LSASS Memory,True
intrusion-set--b7f627e2-0817-4cd5-8d50-e75f8aa85cc6,G1014,LuminousMoth,T1539,Steal Web Session Cookie,False
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,G0102,Wizard Spider,T1136.001,Local Account,True
intrusion-set--3753cc21-2dae-4dfb-8481-d004e74502cc,G0046,FIN7,T1204.001,Malicious Link,True
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,G0090,WIRTE,T1059.001,PowerShell,True
intrusion-set--f8cb7b36-62ef-4488-8a6d-a7033e3271c1,G0090,WIRTE,T1571,Non-Standard Port,False
intrusion-set--1c63d4ec-0a75-4daa-b1df-0d11af3d3cc1,G0035,Dragonfly,T1560,Archive Collected Data,False
intrusion-set--dd2d9ca6-505b-4860-a604-233685b802c7,G0102,Wizard Spider,T1588.003,Code Signing Certificates,True
intrusion-set--96e239be-ad99-49eb-b127-3007b8c1bec9,G0020,Equation,T1564.005,Hidden File System,True
intrusion-set--4ca1929c-7d64-4aab-b849-badbfc0c760d,G0049,OilRig,T1588.003,Code Signing Certificates,True
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,G0117,Fox Kitten,T1105,Ingress Tool Transfer,False
intrusion-set--c21dd6f1-1364-4a70-a1f7-783080ec34ee,G0117,Fox Kitten,T1059,Command and Scripting Interpreter,False
intrusion-set--64b52e7d-b2c4-4a02-9372-08a463f5dc11,G0143,Aquatic Panda,T1027.010,Command Obfuscation,True
intrusion-set--f3be6240-f68e-47e1-90d2-ad8f3b3bb8a6,G1034,Daggerfly,T1003.002,Security Account Manager,True
intrusion-set--ead23196-d7b6-4ce6-a124-4ab4b67d81bd,G0100,Inception,T1027.013,Encrypted/Encoded File,True
intrusion-set--6fe8a2a1-a1b0-4af8-953d-4babd329f8f8,G0098,BlackTech,T1566.002,Spearphishing Link,True
intrusion-set--c0291346-defe-48d7-9542-9e074ba1bdfb,G1044,APT42,T1059.001,PowerShell,True
intrusion-set--bf668120-e9a6-4017-a014-bfc0f5232656,G1026,Malteiro,T1204.002,Malicious File,True
intrusion-set--cc613a49-9bfa-4e22-98d1-15ffbb03f034,G1006,Earth Lusca,T1583.006,Web Services,True
intrusion-set--ecbf507f-6786-4121-a4cc-0fd6a8d3a29d,G1040,Play,T1030,Data Transfer Size Limits,False
intrusion-set--381fcf73-60f6-4ab2-9991-6af3cbc35192,G0034,Sandworm Team,T1608.001,Upload Malware,True
