file,group_name,group_id,score,matched_exact,matched_root_only,rank
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,APT41,G0096,100,"T1003.001, T1003.002, T1003.003, T1005, T1012, T1016, T1018, T1021.002, T1027, T1033, T1036.004, T1036.005, T1046, T1047, T1049, T1053.005, T1055, T1059.001, T1059.003, T1069, T1070.001, T1070.004, T1071.001, T1078, T1082, T1083, T1087.001, T1087.002, T1105, T1112, T1135, T1190, T1197, T1486, T1543.003, T1546.008, T1550.002, T1555, T1555.003, T1560.001, T1566.001, T1569.002, T1570, T1574.001","T1021.001, T1027.002, T1059.004, T1070.003, T1071.002, T1071.004, T1098.007, T1102.001, T1136.001, T1496.001, T1562.006, T1574.006",1.0
PaloAlto-NewToolSet-Organizations-in-Middle-East-Africa-and-US-1-e16339ec,APT32,G0050,52,"T1003, T1018, T1036.005, T1041, T1046, T1047, T1053.005, T1059.001, T1059.003, T1070.004, T1070.006, T1112, T1505.003, T1570, T1583.001","T1003.001, T1021.002, T1027.010, T1027.011, T1027.013, T1027.016, T1036, T1036.003, T1036.004, T1059, T1059.005, T1059.007, T1070.001, T1071.001, T1071.003, T1078.003, T1087.001, T1560, T1564.001, T1564.003, T1564.004, T1583.006",1.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,APT32,G0050,45,"T1003, T1003.001, T1033, T1036, T1041, T1046, T1047, T1049, T1053.005, T1055, T1059.001, T1059.003, T1068, T1203, T1564.001","T1027.010, T1027.011, T1027.013, T1027.016, T1036.003, T1036.004, T1036.005, T1059, T1059.005, T1059.007, T1505.003, T1547.001, T1564.003, T1564.004, T1574.001",1.0
Kaspersky-cascade-of-compromise-unveiling-Lazarus-new-campaign-1-d88076ab,MuddyWater,G0069,28,"T1003.001, T1041, T1057, T1071.001, T1082, T1083, T1113, T1140, T1203, T1573.001","T1003.004, T1003.005, T1027.003, T1027.004, T1027.010, T1132.001, T1547.001, T1574.001",1.0
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,APT32,G0050,26,"T1003, T1018, T1046, T1047, T1059, T1068, T1570","T1003.001, T1021.002, T1053.005, T1059.001, T1059.003, T1059.005, T1059.007, T1070.001, T1070.004, T1070.006, T1505.003, T1569.002",1.0
CISA-AA22-011A-TLP-WHITE-01-10-22-v1-01-11-2022-61a5eb27,APT28,G0007,25,"T1003.003, T1059.003, T1078, T1090.003, T1110.001, T1110.003, T1190, T1595.002, T1598","T1003, T1003.001, T1059.001, T1078.004, T1090.002, T1110, T1598.003",1.0
Kaspersky-Modern-Asian-APT-groups-TTPs-report-eng-11-09-2023-ab3211cc,APT32,G0050,96,"T1003, T1003.001, T1012, T1016, T1018, T1021.002, T1033, T1036, T1036.004, T1036.005, T1041, T1046, T1047, T1049, T1053.005, T1055, T1059, T1059.001, T1059.003, T1070.001, T1070.004, T1071.001, T1082, T1083, T1087.001, T1102, T1105, T1112, T1135, T1204.002, T1505.003, T1543.003, T1550.002, T1560, T1564.003, T1566.001, T1569.002, T1570, T1571, T1574.001","T1027.010, T1027.011, T1027.013, T1027.016, T1036.003, T1059.005, T1059.007, T1070.006, T1071.003, T1078.003, T1204.001, T1550.003, T1552.002, T1564.001, T1564.004, T1566.002",2.0
Blackberry-AeroBlade-Targeting-US-Aerospace-Industry-11-30-2023-ef854d3a,Gamaredon Group,G0047,43,"T1001, T1027, T1033, T1036.005, T1041, T1053.005, T1059.003, T1059.005, T1071.001, T1082, T1083, T1105, T1106, T1140, T1204.002, T1221, T1559.001, T1566.001","T1016.001, T1027.004, T1027.010, T1027.016, T1059.001, T1137, T1204.001",2.0
CISA-aa23-347a-russian-foreign-intelligence-service-svr-exploiti-44318107,Magic Hound,G0059,43,"T1003.001, T1033, T1046, T1047, T1049, T1053.005, T1057, T1059.001, T1059.003, T1190, T1562.001, T1567, T1572, T1592.002","T1027.010, T1027.013, T1036.004, T1036.005, T1036.010, T1059.005, T1098.002, T1098.007, T1505.003, T1547.001, T1562, T1562.002, T1562.004, T1564.003, T1590.005",2.0
Ahnlab-Dalbit-m00nlight-Chinese-APT-Campaign-02-13-2023-f8464b2e,BlackByte,G1043,26,"T1003, T1018, T1046, T1047, T1068, T1562, T1570","T1021.001, T1021.002, T1053.005, T1059.001, T1059.003, T1070.004, T1134.003, T1136.002, T1505.003, T1562.001, T1562.004, T1569.002",2.0
