target id,target name,mapping description
T1003.001,LSASS Memory,"With Windows 10, Microsoft implemented new protections called Credential Guard to protect the LSA secrets that can be used to obtain credentials through forms of credential dumping. It is not configured by default and has hardware and firmware system requirements. It also does not protect against all forms of credential dumping.(Citation: TechNet Credential Guard)(Citation: GitHub SHB Credential Guard"
"T1003.001, T1003","LSASS Memory, OS Credential Dumping",Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012) Consider disabling WDigest authentication.(Citation: Microsoft WDigest Mit
"T1003.001, T1003","LSASS Memory, OS Credential Dumping","On Windows 10, enable Attack Surface Reduction (ASR) rules to secure LSASS and prevent credential stealing. (Citation: win10_asr"
"T1003.001, T1003","LSASS Memory, OS Credential Dumping","On Windows 8.1 and Windows Server 2012 R2, enable Protected Process Light for LSA.(Citation: Microsoft LSA"
"T1003.001, T1003.002, T1003.003, T1003.005, T1003.006","LSASS Memory, Security Account Manager, NTDS, Cached Domain Credentials, DCSync","Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers"
"T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003.006, T1003, T1078.003","LSASS Memory, Security Account Manager, NTDS, LSA Secrets, Cached Domain Credentials, DCSync, OS Credential Dumping, Local Accounts","Ensure that local administrator accounts have complex, unique passwords across all systems on the network"
"T1003.001, T1003.002, T1003.003, T1003.004, T1003.005, T1003","LSASS Memory, Security Account Manager, NTDS, LSA Secrets, Cached Domain Credentials, OS Credential Dumping",Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts
T1003.002,Security Account Manager,Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012
T1003.003,NTDS,Ensure Domain Controller backups are properly secured.(Citation: Metcalf 2015
T1003.004,LSA Secrets,Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers.(Citation: Tilbury Windows Credentials
T1003.005,Cached Domain Credentials,"Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group"
T1003.005,Cached Domain Credentials,Consider limiting the number of cached credentials (HKLM\SOFTWARE\Microsoft\Windows NT\Current Version\Winlogon\cachedlogonscountvalue)(Citation: Tilbury Windows Credentials
T1003.006,DCSync,"Manage the access control list for ""Replicating Directory Changes"" and other permissions associated with domain controller replication.(Citation: ADSecurity Mimikatz DCSync)(Citation: Microsoft Replication ACL"
T1003.007,Proc Filesystem,Follow best practices in restricting access to privileged accounts to avoid hostile programs from accessing sensitive information
"T1003.007, T1003.008","Proc Filesystem, /etc/passwd and /etc/shadow","Ensure that root accounts have complex, unique passwords across all systems on the network"
T1003.008,/etc/passwd and /etc/shadow,Follow best practices in restricting access to privileged accounts to avoid hostile programs from accessing such sensitive information
T1003,OS Credential Dumping,Ensure Domain Controller backups are properly secured
