target id,target name,mapping description
T1001.001,Junk Data,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level
T1001.002,Steganography,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level
T1001.003,Protocol or Service Impersonation,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level
T1001,Data Obfuscation,Network intrusion detection and prevention systems that use network signatures to identify traffic for specific adversary malware can be used to mitigate some obfuscation activity at the network level
T1003.001,LSASS Memory,"On Windows 10, enable Attack Surface Reduction (ASR) rules to secure LSASS and prevent credential stealing. (Citation: win10_asr | With Windows 10, Microsoft implemented new protections called Credential Guard to protect the LSA secrets that can be used to obtain credentials through forms of credential dumping. It is not configured by default and has hardware and firmware system requirements. It also does not protect against all forms of credential dumping.(Citation: TechNet Credential Guard)(Citation: GitHub SHB Credential Guard | Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012) Consider disabling WDigest authentication.(Citation: Microsoft WDigest Mit | Ensure that local administrator accounts have complex, unique passwords across all systems on the network | Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers | On Windows 8.1 and Windows Server 2012 R2, enable Protected Process Light for LSA.(Citation: Microsoft LSA | Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts"
T1003.002,Security Account Manager,"Consider disabling or restricting NTLM.(Citation: Microsoft Disable NTLM Nov 2012 | Ensure that local administrator accounts have complex, unique passwords across all systems on the network | Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers | Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts"
T1003.003,NTDS,"Ensure Domain Controller backups are properly secured.(Citation: Metcalf 2015 | Ensure that local administrator accounts have complex, unique passwords across all systems on the network | Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers | Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts"
T1003.004,LSA Secrets,"Ensure that local administrator accounts have complex, unique passwords across all systems on the network | Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers.(Citation: Tilbury Windows Credentials | Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts"
T1003.005,Cached Domain Credentials,"Consider adding users to the ""Protected Users"" Active Directory security group. This can help limit the caching of users' plaintext credentials.(Citation: Microsoft Protected Users Security Group | Consider limiting the number of cached credentials (HKLM\SOFTWARE\Microsoft\Windows NT\Current Version\Winlogon\cachedlogonscountvalue)(Citation: Tilbury Windows Credentials | Ensure that local administrator accounts have complex, unique passwords across all systems on the network | Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers | Limit credential overlap across accounts and systems by training users and administrators not to use the same password for multiple accounts"
T1003.006,DCSync,"Manage the access control list for ""Replicating Directory Changes"" and other permissions associated with domain controller replication.(Citation: ADSecurity Mimikatz DCSync)(Citation: Microsoft Replication ACL | Ensure that local administrator accounts have complex, unique passwords across all systems on the network | Do not put user or admin domain accounts in the local administrator groups across systems unless they are tightly controlled, as this is often equivalent to having a local administrator account with the same password on all systems. Follow best practices for design and administration of an enterprise network to limit privileged account use across administrative tiers"
